Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",37.000000,-12.000000,90.000000,top
"C2","10u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",30.000000,-8.000000,45.000000,top
"C3","22p","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",28.050700,-6.366300,45.000000,top
"C4","22p","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",24.130000,-2.540000,225.000000,top
"D0","LED","LED_0805_2012Metric",7.620000,-23.495000,0.000000,top
"D1","LED","LED_0805_2012Metric",21.717000,-23.495000,0.000000,top
"D2","LED","LED_0805_2012Metric",35.888600,-23.495000,0.000000,top
"D3","LED","LED_0805_2012Metric",49.876400,-23.495000,0.000000,top
"D4","LED","LED_0805_2012Metric",63.991300,-23.495000,0.000000,top
"D5","LED","LED_0805_2012Metric",78.105000,-23.495000,0.000000,top
"LOGO1","Logo_Open_Hardware_Small","card sized midi controller logo",24.600000,-18.300000,0.000000,top
"LOGO2","Logo_Open_Hardware_Small","ICSP",4.500000,-17.000000,0.000000,top
"LOGO3","Logo_Open_Hardware_Small","midi out",72.500000,-16.100000,0.000000,top
"LOGO4","Logo_Open_Hardware_Small","setting",84.100000,-43.300000,0.000000,top
"LOGO5","Logo_Open_Hardware_Small","rnd",21.700000,-45.800000,0.000000,top
"LOGO6","Logo_Open_Hardware_Small","log",45.400000,-45.800000,0.000000,top
"LOGO7","Logo_Open_Hardware_Small","led",69.200000,-45.800000,0.000000,top
"LOGO8","Logo_Open_Hardware_Small","1",7.900000,-21.043319,0.000000,top
"LOGO9","Logo_Open_Hardware_Small","2",21.800000,-21.064170,0.000000,top
"LOGO10","Logo_Open_Hardware_Small","3",35.900000,-21.049230,0.000000,top
"LOGO11","Logo_Open_Hardware_Small","4",49.900000,-20.973815,0.000000,top
"LOGO12","Logo_Open_Hardware_Small","5",64.200000,-20.942948,0.000000,top
"LOGO13","Logo_Open_Hardware_Small","6",78.200000,-21.000000,0.000000,top
"LOGO14","Logo_Open_Hardware_Small","1",1.300000,-9.500000,0.000000,top
"LOGO15","Logo_Open_Hardware_Small","level",17.000000,-50.500000,0.000000,top
"LOGO16","Logo_Open_Hardware_Small","pan",28.900000,-50.500000,0.000000,top
"LOGO17","Logo_Open_Hardware_Small","mod",40.900000,-50.500000,0.000000,top
"LOGO18","Logo_Open_Hardware_Small","cc1",52.600000,-50.500000,0.000000,top
"LOGO19","Logo_Open_Hardware_Small","cc2",64.500000,-50.500000,0.000000,top
"LOGO20","Logo_Open_Hardware_Small","cc3",76.400000,-50.500000,0.000000,top
"R0","1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",7.658700,-26.035000,0.000000,top
"R1","1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",21.717000,-26.035000,0.000000,top
"R2","1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",35.847100,-26.035000,0.000000,top
"R3","1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",49.877900,-26.035000,0.000000,top
"R4","1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",64.035600,-26.035000,0.000000,top
"R5","1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",78.066300,-26.035000,0.000000,top
"R7","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",27.686000,-12.954000,180.000000,top
"R8","220R","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",57.912000,-11.557000,90.000000,top
"R9","220R","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",57.912000,-6.858000,270.000000,top
"SW0","SW_Push","SW_Push_1P1T_NO_6x6mm_H9.5mm",13.106000,-46.977000,0.000000,top
"SW1","SW_Push","SW_Push_1P1T_NO_6x6mm_H9.5mm",24.993200,-46.977000,0.000000,top
"SW2","SW_Push","SW_Push_1P1T_NO_6x6mm_H9.5mm",36.880400,-46.977000,0.000000,top
"SW3","SW_Push","SW_Push_1P1T_NO_6x6mm_H9.5mm",48.767600,-46.977000,0.000000,top
"SW4","SW_Push","SW_Push_1P1T_NO_6x6mm_H9.5mm",60.654800,-46.977000,0.000000,top
"SW5","SW_Push","SW_Push_1P1T_NO_6x6mm_H9.5mm",72.542000,-46.977000,0.000000,top
"U1","ATmega328P-AU","TQFP-32_7x7mm_P0.8mm",18.034000,-10.287000,225.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",26.035000,-4.445000,45.000000,top
