Designator,Mid X,Mid Y,Layer,Rotation
C1,37,-12,top,90
C2,30,-8,top,45
C3,28.0507,-6.3663,top,45
C4,24.13,-2.54,top,225
D0,7.62,-23.495,top,0
D1,21.717,-23.495,top,0
D2,35.8886,-23.495,top,0
D3,49.8764,-23.495,top,0
D4,63.9913,-23.495,top,0
D5,78.105,-23.495,top,0
R0,7.6587,-26.035,top,0
R1,21.717,-26.035,top,0
R2,35.8471,-26.035,top,0
R3,49.8779,-26.035,top,0
R4,64.0356,-26.035,top,0
R5,78.0663,-26.035,top,0
R7,27.686,-12.954,top,180
R8,57.912,-11.557,top,90
R9,57.912,-6.858,top,270
SW0,13.106,-46.977,top,0
SW1,24.9932,-46.977,top,0
SW2,36.8804,-46.977,top,0
SW3,48.7676,-46.977,top,0
SW4,60.6548,-46.977,top,0
SW5,72.542,-46.977,top,0
U1,18.034,-10.287,top,225
Y1,26.035,-4.445,top,45
