Comment,Designator,Footprint,LCSC
"2.2u","C1","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"100u","C2","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm",""
"22p","C3,C4","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","C1653"
"LED","D0,D1,D2,D3,D4,D5","LED_SMD:LED_0805_2012Metric","C34499"
"USB_B","J1","Connector_USB:USB_B_OST_USB-B1HSxx_Horizontal",""
"Conn_02x03_Odd_Even","J2","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical",""
"MIDI OUT","J3","SensaiLib:din-5",""
"AudioJack3","J4","SensaiLib:Jack stereo tayda",""
"Screw_Terminal_01x01","J5,J6,J7,J8","MountingHole:MountingHole_3.2mm_M3_Pad_Via",""
"1k","R0,R1,R2,R3,R4,R5","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C17513"
"10k","R7","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C17414"
"220R","R8,R9","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C17557"
"100k","RV0,RV1,RV2,RV3,RV4,RV5","w_pth_resistors:trimmer_alps-rk09k1130ah1",""
"SW_Push","SW0,SW1,SW2,SW3,SW4,SW5","Button_Switch_THT:SW_PUSH_6mm_H5mm",""
"ATmega328P-AU","U1","Package_QFP:TQFP-32_7x7mm_P0.8mm","C14877"
"16MHz","Y1","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","C13738"
