Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,100n,C49678
C2,0805,1,10u,C15850
"C3, C4",0603,2,22p,C1653
"D0, D1, D2, D3, D4, D5",0805,6,LED,C34499
J3,din-5,1,MIDI_OUT,C2939345
P1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Plug_USB2.0,C2765186
"R0, R1, R2, R3, R4, R5",0805,6,1k,C17513
R7,0805,1,10k,C17414
"R8, R9",0805,2,220R,C17557
"RV0, RV1, RV2, RV3, RV4, RV5",trimmer_alps-rk09k1130ah1,6,5k,C470296
"SW0, SW1, SW2, SW3, SW4, SW5",SW_Push_1P1T_NO_6x6mm_H9.5mm,6,SW_Push,C127509
U1,TQFP-32_7x7mm_P0.8mm,1,ATmega328P-AU,C14877
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz,C13738
