Designator,Mid X,Mid Y,Rotation,Layer
C1,37.0,-12.0,90.0,top
C2,30.0,-8.0,45.0,top
C3,28.0507,-6.3663,45.0,top
C4,24.13,-2.54,225.0,top
D0,7.62,-23.495,0.0,top
D1,21.717,-23.495,0.0,top
D2,35.8886,-23.495,0.0,top
D3,49.8764,-23.495,0.0,top
D4,63.9913,-23.495,0.0,top
D5,78.105,-23.495,0.0,top
J3,68.707,-8.27532,180.0,top
P1,47.244,-3.7,180.0,top
R0,7.6587,-26.035,0.0,top
R1,21.717,-26.035,0.0,top
R2,35.8471,-26.035,0.0,top
R3,49.8779,-26.035,0.0,top
R4,64.0356,-26.035,0.0,top
R5,78.0663,-26.035,0.0,top
R7,27.686,-12.954,180.0,top
R8,57.912,-11.557,90.0,top
R9,57.912,-6.858,270.0,top
RV0,7.6214,-35.084,0.0,top
RV1,21.7179,-34.957,0.0,top
RV2,35.8143,-34.957,0.0,top
RV3,49.9107,-34.957,0.0,top
RV4,64.0071,-34.957,0.0,top
RV5,78.1036,-34.957,0.0,top
SW0,13.106,-46.977,0.0,top
SW1,24.9932,-46.977,0.0,top
SW2,36.8804,-46.977,0.0,top
SW3,48.7676,-46.977,0.0,top
SW4,60.6548,-46.977,0.0,top
SW5,72.542,-46.977,0.0,top
U1,18.034,-10.287,135.0,top
Y1,26.035,-4.445,45.0,top
